Post id,Date,post_text,Link,Impressions,Likes,Engagements,Bookmarks,Share,New follows,Replies,Reposts,Profile visits,Detail expands,Url clicks,Hashtag clicks,Permalink clicks
1904995359019130000,YYYY-00-DD 00:00:SS,"Medicare, Medicaid and Social Security are the magnificent achievements of American democracy. There's no way the American people will let Elon Musk and Trump's billionaire cabinet tear down what prior generations have built. https://t.co/VTbGbuir6v",https://x.com/RepRaskin/status/1904995359019131318,7450,330,590,3,3,0,47,130,9,60,1,0,0
1904974213296880000,YYYY-00-DD 00:00:SS,"Trump is imposing an ultimatum on judges: agree with my bogus analysis of the law or face impeachment. Never has a judge been impeached over doctrinal differences—in other words, for doing their jobs. MAGA now wants to make sound legal analysis a high crime and misdemeanor. https://t.co/hFaP3tSL2S",https://x.com/RepRaskin/status/1904974213296877734,15542,927,1582,18,3,0,81,359,9,135,2,0,0
1904924139820850000,YYYY-00-DD 00:00:SS,https://t.co/ttPuHvdA1a,https://x.com/RepRaskin/status/1904924139820851582,50163,1913,2992,29,10,0,144,391,69,248,47,0,0
1904923616979930000,YYYY-00-DD 00:00:SS,We are being governed by incompetents and broligarchs who would start World War III with a pocket dial. https://t.co/caE6OO0CXK,https://x.com/RepRaskin/status/1904923616979927346,66981,3090,5210,43,18,3,347,937,46,334,13,0,0
1904880217191030000,YYYY-00-DD 00:00:SS,"Trump, do you want to set up a compensation fund for the 140 sworn police officers wounded by your J6 “patriots” too? Or is it just the criminals you’re proposing to pay reparations? Why should the taxpayers pay for the upkeep of your mercenary gang?",https://x.com/RepRaskin/status/1904880217191035063,52424,3704,5758,58,23,0,285,1416,49,302,2,0,0
1904668659189970000,YYYY-00-DD 00:00:SS,"On Equal Pay Day, I'm proud to uplift the @DemWomenCaucus' unflagging fight for fair wages for all women. Ending the gender pay gap means equal pay for equal work.",https://x.com/RepRaskin/status/1904668659189973061,21545,219,434,2,0,0,83,47,22,63,0,0,0
1904653462152880000,YYYY-00-DD 00:00:SS,Trump's promising that Elon Musk won't break Social Security with his DOGE redesign. But this wouldn't be the first time the billionaire broke something he promised was unbreakable. https://t.co/TA7azbobPB,https://x.com/RepRaskin/status/1904653462152880491,66402,1663,3479,37,5,0,263,434,111,440,14,0,0
1904528504978290000,YYYY-00-DD 00:00:SS,"Both Terps teams keep dancing! After two big finishes, can’t wait to watch our Terrapins bring their fighting spirit to the Sweet Sixteen.",https://x.com/RepRaskin/status/1904528504978284900,23468,154,296,1,0,0,60,18,15,49,0,0,0
1904367794780590000,YYYY-00-DD 00:00:SS,"To be called a conspiracy theorist by you is high praise! Of course, your vaccine conspiracy lies put people’s lives at risk. Meantime, you have no problem with Trump taking over Canada, Greenland and Panama, but seem to know the real purpose of this deranged plan. Pray tell!",https://x.com/RepRaskin/status/1904367794780586261,34706,1034,1800,14,8,0,212,184,51,313,5,0,0
1904277415012240000,YYYY-00-DD 00:00:SS,History shows a legislative strategy alone is not sufficient to defeat fascists and dictators. You need organized civil society fighting back along with persistent legislative defense of democratic institutions and programs. https://t.co/l362aFKW98,https://x.com/RepRaskin/status/1904277415012237717,29126,1377,2641,31,6,10,259,480,43,308,4,0,0
1904234552266300000,YYYY-00-DD 00:00:SS,"Trump’s corporate state uses the White House lawn for a Tesla auto show, promotes Tesla stock on TV and hustles Trump deals globally. Americans can't afford groceries or medicine, but the president has turned the government into a moneymaking operation for MAGA billionaires.",https://x.com/RepRaskin/status/1904234552266301451,14658,220,503,6,1,0,82,67,13,118,3,0,0
1904169599051980000,YYYY-00-DD 00:00:SS,"Trump froze shipment of millions of dollars’ worth of food to hungry Americans, including 12 truckloads slated for Maryland. What do we tell hungry families? The president is spending billions on shocking military boondoggles but feeding the hungry is “government waste.”",https://x.com/RepRaskin/status/1904169599051985375,20766,313,710,14,6,1,55,162,13,165,1,0,0
1903918714916940000,YYYY-00-DD 00:00:SS,"15 years ago today, Democrats passed the Affordable Care Act to make health care more affordable for millions of Americans. While Trump, Musk and MAGA wage war on Medicare &amp; Medicaid, we’ll keep fighting for health care as a right, not a privilege.",https://x.com/RepRaskin/status/1903918714916938006,47347,2305,4047,31,2,3,750,511,97,377,2,0,0
1903250352863940000,YYYY-00-DD 00:00:SS,Grok confirms that the Trump push to make $880 billion in Medicaid cuts is true. Why do Trump &amp; Musk try to deny the targeting of Medicaid and Social Security when that is their own plan? Own it.,https://x.com/RepRaskin/status/1903250352863936658,61204,2022,3769,34,3,0,292,919,48,486,1,0,0
1903184723720940000,YYYY-00-DD 00:00:SS,Dr. Sarah Cooley is an acclaimed climate scientist who was unceremoniously sacked from NOAA by Trump and DOGE while conducting critical research to save our oceans. This #MD08 Local Hero is determined to use her expertise in service of the American people and our climate. https://t.co/cONRE9jrjN,https://x.com/RepRaskin/status/1903184723720937733,29836,1429,2280,22,4,1,153,472,26,108,3,16,0
1903092280770070000,YYYY-00-DD 00:00:SS,Are other billionaires deeply invested in China getting this briefing too? Will China be represented at the briefing or will Musk give them a read-out afterwards? https://t.co/Xc9w0MLTIR,https://x.com/RepRaskin/status/1903092280770072611,13380,415,1061,4,9,0,103,159,23,194,164,0,0
1903090358109530000,YYYY-00-DD 00:00:SS,"We rallied outside NOAA’s HQ in Silver Spring to defend facts &amp; science, democracy &amp; the rule of law. Trump &amp; Elon Musk must reinstate the federal workers they illegally sacked from the agency. We're not letting NOAA go down—Congress &amp; the people created it &amp; we’ll defend it. https://t.co/Gg7hzC4QZt",https://x.com/RepRaskin/status/1903090358109532227,20991,740,1360,5,3,0,138,218,28,124,4,0,0
1902778384901390000,YYYY-00-DD 00:00:SS,"President Trump attacked the Department of Education and conjured up chaos for public servants eligible for loan forgiveness. But loan forgiveness remains intact, and Democrats are fighting to honor eligible public servants' careers and well-being.",https://x.com/RepRaskin/status/1902778384901390449,19958,911,1539,8,2,3,210,232,31,150,2,0,0
1902742620419340000,YYYY-00-DD 00:00:SS,"Every American has the right to know what DOGE is doing with their personal information. I submitted a Privacy Act request to DOGE, demanding they tell me why they have my Social Security number and direct deposit information. https://t.co/rPfEHBrb03",https://x.com/RepRaskin/status/1902742620419338375,300367,11740,26962,329,88,20,5766,4276,807,2770,1555,1,0
